date,latitude,longitude,country,state,state_code,Search_count,location,geo_code,search_term,year,language_code
3/31/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,57,Canberra,AU-ACT,Fishing,2024,en
4/7/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,56,Canberra,AU-ACT,Fishing,2024,en
4/14/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,52,Canberra,AU-ACT,Fishing,2024,en
4/21/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,67,Canberra,AU-ACT,Fishing,2024,en
4/28/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,43,Canberra,AU-ACT,Fishing,2024,en
5/5/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,42,Canberra,AU-ACT,Fishing,2024,en
5/12/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,53,Canberra,AU-ACT,Fishing,2024,en
5/19/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,64,Canberra,AU-ACT,Fishing,2024,en
5/26/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,51,Canberra,AU-ACT,Fishing,2024,en
6/2/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,49,Canberra,AU-ACT,Fishing,2024,en
6/9/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,45,Canberra,AU-ACT,Fishing,2024,en
6/16/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,43,Canberra,AU-ACT,Fishing,2024,en
6/23/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,52,Canberra,AU-ACT,Fishing,2024,en
6/30/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,53,Canberra,AU-ACT,Fishing,2024,en
7/7/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,44,Canberra,AU-ACT,Fishing,2024,en
7/14/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,37,Canberra,AU-ACT,Fishing,2024,en
7/21/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,38,Canberra,AU-ACT,Fishing,2024,en
7/28/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,34,Canberra,AU-ACT,Fishing,2024,en
8/4/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,42,Canberra,AU-ACT,Fishing,2024,en
8/11/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,46,Canberra,AU-ACT,Fishing,2024,en
8/18/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,49,Canberra,AU-ACT,Fishing,2024,en
8/25/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,45,Canberra,AU-ACT,Fishing,2024,en
9/1/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,46,Canberra,AU-ACT,Fishing,2024,en
9/8/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,46,Canberra,AU-ACT,Fishing,2024,en
9/15/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,50,Canberra,AU-ACT,Fishing,2024,en
9/22/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,54,Canberra,AU-ACT,Fishing,2024,en
9/29/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,67,Canberra,AU-ACT,Fishing,2024,en
10/6/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,59,Canberra,AU-ACT,Fishing,2024,en
10/13/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,42,Canberra,AU-ACT,Fishing,2024,en
10/20/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,60,Canberra,AU-ACT,Fishing,2024,en
10/27/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,57,Canberra,AU-ACT,Fishing,2024,en
11/3/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,52,Canberra,AU-ACT,Fishing,2024,en
11/10/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,59,Canberra,AU-ACT,Fishing,2024,en
11/17/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,62,Canberra,AU-ACT,Fishing,2024,en
11/24/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,65,Canberra,AU-ACT,Fishing,2024,en
12/1/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,72,Canberra,AU-ACT,Fishing,2024,en
12/8/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,65,Canberra,AU-ACT,Fishing,2024,en
12/15/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,74,Canberra,AU-ACT,Fishing,2024,en
12/22/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,100,Canberra,AU-ACT,Fishing,2024,en
12/29/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,98,Canberra,AU-ACT,Fishing,2024,en
1/7/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
1/14/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
1/21/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
1/28/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
2/4/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
2/11/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
2/18/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
2/25/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
3/3/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
3/10/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
3/17/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
3/24/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
3/31/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Fishing Bait,2024,en
