date,latitude,longitude,country,state,state_code,english_term,swedish_term,search_term_display,English Search Count,Swedish search Count,location,geo_code,year,language_code
8/11/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
8/18/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
8/25/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
9/1/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
9/8/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
9/15/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
9/22/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
9/29/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
10/6/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
10/13/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
10/20/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
10/27/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
11/3/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
11/10/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
