date,latitude,longitude,country,Search Count,location,geo_code,search_term,year,language_code
4/28/2024,52.486243,-1.890401,United Kingdom,22,Birmingham,GB-ENG,Fishing Bait,2024,en
5/5/2024,52.486243,-1.890401,United Kingdom,24,Birmingham,GB-ENG,Fishing Bait,2024,en
5/12/2024,52.486243,-1.890401,United Kingdom,23,Birmingham,GB-ENG,Fishing Bait,2024,en
5/19/2024,52.486243,-1.890401,United Kingdom,25,Birmingham,GB-ENG,Fishing Bait,2024,en
5/26/2024,52.486243,-1.890401,United Kingdom,27,Birmingham,GB-ENG,Fishing Bait,2024,en
6/2/2024,52.486243,-1.890401,United Kingdom,26,Birmingham,GB-ENG,Fishing Bait,2024,en
6/9/2024,52.486243,-1.890401,United Kingdom,27,Birmingham,GB-ENG,Fishing Bait,2024,en
6/16/2024,52.486243,-1.890401,United Kingdom,29,Birmingham,GB-ENG,Fishing Bait,2024,en
6/23/2024,52.486243,-1.890401,United Kingdom,27,Birmingham,GB-ENG,Fishing Bait,2024,en
6/30/2024,52.486243,-1.890401,United Kingdom,27,Birmingham,GB-ENG,Fishing Bait,2024,en
7/7/2024,52.486243,-1.890401,United Kingdom,24,Birmingham,GB-ENG,Fishing Bait,2024,en
7/14/2024,52.486243,-1.890401,United Kingdom,31,Birmingham,GB-ENG,Fishing Bait,2024,en
7/21/2024,52.486243,-1.890401,United Kingdom,40,Birmingham,GB-ENG,Fishing Bait,2024,en
7/28/2024,52.486243,-1.890401,United Kingdom,35,Birmingham,GB-ENG,Fishing Bait,2024,en
8/4/2024,52.486243,-1.890401,United Kingdom,38,Birmingham,GB-ENG,Fishing Bait,2024,en
8/11/2024,52.486243,-1.890401,United Kingdom,34,Birmingham,GB-ENG,Fishing Bait,2024,en
8/18/2024,52.486243,-1.890401,United Kingdom,36,Birmingham,GB-ENG,Fishing Bait,2024,en
8/25/2024,52.486243,-1.890401,United Kingdom,35,Birmingham,GB-ENG,Fishing Bait,2024,en
9/1/2024,52.486243,-1.890401,United Kingdom,31,Birmingham,GB-ENG,Fishing Bait,2024,en
9/8/2024,52.486243,-1.890401,United Kingdom,27,Birmingham,GB-ENG,Fishing Bait,2024,en
9/15/2024,52.486243,-1.890401,United Kingdom,29,Birmingham,GB-ENG,Fishing Bait,2024,en
9/22/2024,52.486243,-1.890401,United Kingdom,25,Birmingham,GB-ENG,Fishing Bait,2024,en
9/29/2024,52.486243,-1.890401,United Kingdom,25,Birmingham,GB-ENG,Fishing Bait,2024,en
10/6/2024,52.486243,-1.890401,United Kingdom,26,Birmingham,GB-ENG,Fishing Bait,2024,en
10/13/2024,52.486243,-1.890401,United Kingdom,26,Birmingham,GB-ENG,Fishing Bait,2024,en
10/20/2024,52.486243,-1.890401,United Kingdom,26,Birmingham,GB-ENG,Fishing Bait,2024,en
10/27/2024,52.486243,-1.890401,United Kingdom,23,Birmingham,GB-ENG,Fishing Bait,2024,en
11/3/2024,52.486243,-1.890401,United Kingdom,17,Birmingham,GB-ENG,Fishing Bait,2024,en
11/10/2024,52.486243,-1.890401,United Kingdom,18,Birmingham,GB-ENG,Fishing Bait,2024,en
11/17/2024,52.486243,-1.890401,United Kingdom,15,Birmingham,GB-ENG,Fishing Bait,2024,en
11/24/2024,52.486243,-1.890401,United Kingdom,19,Birmingham,GB-ENG,Fishing Bait,2024,en
12/1/2024,52.486243,-1.890401,United Kingdom,25,Birmingham,GB-ENG,Fishing Bait,2024,en
12/8/2024,52.486243,-1.890401,United Kingdom,14,Birmingham,GB-ENG,Fishing Bait,2024,en
